Hour,start_timestamp,Busyness Predicted,Taxi Zone ID
2,1691283600.0,0.09508504,243
3,1691287200.0,0.090929046,243
4,1691290800.0,0.08378754,243
5,1691294400.0,0.02062988,243
6,1691298000.0,0.072353534,243
7,1691301600.0,0.07313716,243
8,1691305200.0,0.08476722,243
9,1691308800.0,0.067939244,243
10,1691312400.0,0.08326427,243
11,1691316000.0,0.11614573,243
12,1691319600.0,0.14988211,243
13,1691323200.0,0.17016307,243
14,1691326800.0,0.17060465,243
15,1691330400.0,0.16658196,243
16,1691334000.0,0.16638106,243
17,1691337600.0,0.16787316,243
18,1691341200.0,0.1219951,243
19,1691344800.0,0.10344596,243
20,1691348400.0,0.090083286,243
21,1691352000.0,0.06849151,243
22,1691355600.0,0.05853236,243
23,1691359200.0,0.054663867,243
0,1691276400.0,0.27528718,244
1,1691280000.0,0.2212188,244
2,1691283600.0,0.07548664,244
3,1691287200.0,0.07133063,244
4,1691290800.0,0.057382707,244
5,1691294400.0,0.0024074726,244
6,1691298000.0,0.048496757,244
7,1691301600.0,0.14800298,244
8,1691305200.0,0.5025789,244
9,1691308800.0,0.4696936,244
10,1691312400.0,0.6487662,244
11,1691316000.0,0.6816477,244
12,1691319600.0,0.6950156,244
13,1691323200.0,0.80091894,244
14,1691326800.0,0.87216216,244
15,1691330400.0,1.2304914,244
16,1691334000.0,1.2387482,244
17,1691337600.0,1.3624021,244
18,1691341200.0,1.2906082,244
19,1691344800.0,1.0838616,244
20,1691348400.0,0.989728,244
21,1691352000.0,0.8513631,244
22,1691355600.0,0.80854875,244
23,1691359200.0,0.6609092,244
0,1691276400.0,0.11883697,246
1,1691280000.0,0.14894634,246
2,1691283600.0,0.119269334,246
3,1691287200.0,0.115113325,246
4,1691290800.0,0.10797181,246
5,1691294400.0,0.044814184,246
6,1691298000.0,0.0849283,246
7,1691301600.0,0.13325189,246
8,1691305200.0,0.21446781,246
